         [-0.11957648156067915, 0.09664353547569854, 0.7172513496968278, -0.7657073754453718, 1.7187583992930076, 0.9685872670405096, 1.1230885414424017, -0.315338162527644, -0.02658269945792867, -1.3005101916842057, 0.9672486852756942, 0.1091001409156715, -0.3338734170545963, 0.0028536061269825164, -0.3321217074908042, 1.54766228347316, 1.9337303059202928, -0.1810088680982595, 0.08933743731255629, -1.5450182347933623, -1.8060954956031001, 1.4128389456439052, 0.036669763288876375, -0.3375367985867606, -0.15905958505282863, -0.4254882555692998, -0.5286172604024391, 0.3090279752777867, 0.2855519721183313, -1.0812432075585758, -0.08083906498935037, -0.09323696502157292, 1.5681924392328688, -1.7204046588044126, -0.19451511504807614, 0.41866524486061224, 1.8267035312409168, -2.2038690739171454, 0.0026451164026667917, 2.2225946278508983, 0.34296585153964365, 0.4041141831476372, -0.3604972929468577, 0.6389565938889338, 1.2985414969211717, -0.6332192992903185, 0.5410199032040879, -0.14441713554483784, 0.8543752041781458, -0.0712403996666582, 0.524467655457614, -0.6229947897373207, -0.46147936161425945, 0.1648250251519071, 0.44886849706826687](499.0,)
         {'W1': array([[-0.60111877,  0.085154  ,  0.95184778, -0.19353589,  1.78283918,
                  1.07550696],
                [ 1.13513194, -0.25782895,  0.14992384, -1.06168052,  0.49764378,
                  0.1309509 ],
                [ 0.01195215, -0.08002987, -0.59332403,  1.6807271 ,  2.46335562,
                 -0.17971916],
                [ 0.09436486, -2.10400084, -1.8060955 ,  1.51435691,  0.03711989,
                 -0.31686321]]), 'W3': array([[-0.62299479],
                [-0.46147936],
                [ 0.16482503]]), 'W2': array([[-0.06765081, -0.09323697,  1.54162343],
                [-1.73492325, -0.1530125 ,  1.39756896],
                [ 1.82695935, -2.2443721 , -0.06890063],
                [ 2.21603067,  0.36275254,  0.73052991],
                [-0.36049729,  0.63895659,  1.22381711],
                [-0.6332193 ,  0.54101081,  0.02725559]]), 'B3': array([[0.4488685]]), 'B1': array([[-0.02790594, -0.42632279, -0.59394893,  0.30539159,  0.27954819,
                 -1.05270209]]), 'B2': array([[ 0.85455599, -0.0673387 ,  0.45119058]])}
